region_id	position_name
0	MMStack_Pos0
1	MMStack_Pos1
2	MMStack_Pos2
3	MMStack_Pos3
4	MMStack_Pos4
5	MMStack_Pos5
6	MMStack_Pos6
7	MMStack_Pos7
8	MMStack_Pos8
9	MMStack_Pos9
10	MMStack_Pos10
11	MMStack_Pos11
12	MMStack_Pos12
13	MMStack_Pos13
14	MMStack_Pos14
15	MMStack_Pos15
16	MMStack_Pos16
17	MMStack_Pos17
18	MMStack_Pos18
19	MMStack_Pos19
20	MMStack_Pos20
21	MMStack_Pos21
22	MMStack_Pos22
23	MMStack_Pos23
24	MMStack_Pos24
25	MMStack_Pos25
26	MMStack_Pos26
27	MMStack_Pos27
28	MMStack_Pos28
29	MMStack_Pos29
30	MMStack_Pos30
31	MMStack_Pos31
32	MMStack_Pos32
33	MMStack_Pos33
34	MMStack_Pos34
35	MMStack_Pos35
36	MMStack_Pos36
37	MMStack_Pos37
38	MMStack_Pos38
39	MMStack_Pos39
